id,category,year,gender,question,answer,explanation,source,source_field
110,優勝回数の傾向,2012-2025,男子,【優勝回数の傾向】2012〜2025年の男子の優勝校は、異なる学校が6校ある。 ○か×か。,×,優勝校は5校で、6校ではない。,input/aragyoku/transcripts/,distinct teams[rank=1].team across 男子 transcripts
111,優勝回数の傾向,2012-2025,女子,【優勝回数の傾向】2012〜2025年の女子の優勝校は、異なる学校が5校ある。 ○か×か。,○,優勝校は玉名・荒尾三・荒尾四・長洲・南関の5校。,input/aragyoku/transcripts/,distinct teams[rank=1].team across 女子 transcripts
112,優勝回数の傾向,2012-2025,女子,【優勝回数の傾向】2012〜2025年の女子の優勝校は、異なる学校が6校ある。 ○か×か。,×,優勝校は5校で、6校ではない。,input/aragyoku/transcripts/,distinct teams[rank=1].team across 女子 transcripts
113,優勝回数の傾向,2012-2025,男女,【優勝回数の傾向】2012〜2025年の男女合計で、優勝校は異なる学校が7校ある。 ○か×か。,○,男女合計の優勝校の種類数は7校。,input/aragyoku/transcripts/,distinct teams[rank=1].team across all transcripts
114,優勝回数の傾向,2012-2025,男女,【優勝回数の傾向】2012〜2025年の男女合計で、優勝校は異なる学校が6校ある。 ○か×か。,×,男女合計の優勝校の種類数は7校。,input/aragyoku/transcripts/,distinct teams[rank=1].team across all transcripts
115,優勝回数の傾向,2012-2025,男子,【優勝回数の傾向】男子では玉名と菊水がともに5回で、優勝回数の最多タイである。 ○か×か。,○,玉名も菊水も5回。,input/aragyoku/transcripts/,teams[rank=1].team frequency across 男子 transcripts
116,優勝回数の傾向,2012-2025,男子,【優勝回数の傾向】男子では玉名が単独最多で、菊水は4回である。 ○か×か。,×,玉名と菊水はともに5回で、玉名の単独最多ではない。,input/aragyoku/transcripts/,teams[rank=1].team frequency across 男子 transcripts
117,連覇・推移,2012-2013,男子,【連覇・推移】男子は2012年と2013年に玉名が連続して優勝している。 ○か×か。,○,2012年・2013年の1位はいずれも玉名。,input/aragyoku/transcripts/,teams[rank=1].team for 2012-2013 男子
118,連覇・推移,2012-2013,男子,【連覇・推移】男子は2012年が玉名、2013年が菊水で、連覇ではない。 ○か×か。,×,2012年・2013年の1位はいずれも玉名。,input/aragyoku/transcripts/,teams[rank=1].team for 2012-2013 男子
119,連覇・推移,2012-2013,女子,【連覇・推移】女子は2012年と2013年に玉名が連続して優勝している。 ○か×か。,○,2012年・2013年の1位はいずれも玉名。,input/aragyoku/transcripts/,teams[rank=1].team for 2012-2013 女子
120,連覇・推移,2012-2013,女子,【連覇・推移】女子は2012年が玉名、2013年が荒尾海陽で、連覇ではない。 ○か×か。,×,2012年・2013年の1位はいずれも玉名。,input/aragyoku/transcripts/,teams[rank=1].team for 2012-2013 女子
121,連覇・推移,2017-2020,女子,【連覇・推移】女子では玉名が2017〜2020年の4年連続で優勝している。 ○か×か。,○,2017・2018・2019・2020年の1位がすべて玉名。,input/aragyoku/transcripts/,teams[rank=1].team for 2017-2020 女子
122,連覇・推移,2017-2020,女子,【連覇・推移】女子では玉名が2017〜2020年の3年連続で優勝している。 ○か×か。,×,2017〜2020年は4年連続で玉名が1位。,input/aragyoku/transcripts/,teams[rank=1].team for 2017-2020 女子
123,連覇・推移,2024-2025,男子,【連覇・推移】男子の優勝校は2024年の南関から2025年の菊水へ変わっている。 ○か×か。,○,2024年は南関、2025年は菊水。,input/aragyoku/transcripts/,teams[rank=1].team for 2024-2025 男子
124,連覇・推移,2024-2025,男子,【連覇・推移】男子の優勝校は2024年から2025年まで南関のままである。 ○か×か。,×,2025年の1位は南関ではなく菊水。,input/aragyoku/transcripts/,teams[rank=1].team for 2024-2025 男子
125,連覇・推移,2021-2024,女子,【連覇・推移】女子の2021〜2024年の優勝校は、荒尾四・長洲・荒尾三・南関の4校で全て異なる。 ○か×か。,○,年別の1位は荒尾四・長洲・荒尾三・南関。,input/aragyoku/transcripts/,teams[rank=1].team for 2021-2024 女子
126,連覇・推移,2021-2024,女子,【連覇・推移】女子の2021〜2024年は、同じ学校が4年連続で優勝している。 ○か×か。,×,2021〜2024年は4年連続同一校ではない。,input/aragyoku/transcripts/,teams[rank=1].team for 2021-2024 女子
127,連覇・推移,2018-2020,男子,【連覇・推移】男子の2018〜2020年の優勝校は、南関・玉名・玉南の3校で全て異なる。 ○か×か。,○,年別の1位は南関・玉名・玉南。,input/aragyoku/transcripts/,teams[rank=1].team for 2018-2020 男子
